        Deg.          Ve          P1          P2      dmr/dt      dm1/dt      dm2/dt         Cv1         Cv2       P1-P2
         321      49.030       0.868       0.930      -3.725       0.000       2.455       0.000       0.223      -0.062
         322      47.774       0.871       0.931      -3.647       0.000       2.339       0.000       0.211      -0.061
         324      46.520       0.874       0.933      -3.570       0.000       2.223       0.000       0.198      -0.059
         325      45.267       0.877       0.936      -3.493       0.000       2.107       0.000       0.185      -0.058
         326      44.018       0.881       0.938      -3.416       0.000       1.991       0.000       0.173      -0.057
         328      42.772       0.885       0.941      -3.340       0.000       1.875       0.000       0.161      -0.056
         329      41.531       0.889       0.944      -3.264       0.000       1.759       0.000       0.149      -0.054
         331      40.296       0.894       0.947      -3.188       0.000       1.642       0.000       0.137      -0.053
         332      39.066       0.898       0.950      -3.112       0.000       1.526       0.000       0.126      -0.052
         334      37.843       0.903       0.954      -3.036       0.000       1.409       0.000       0.114      -0.051
         335      36.629       0.908       0.958      -2.961       0.000       1.293       0.000       0.103      -0.049
         336      35.422       0.914       0.962      -2.886       0.000       1.177       0.000       0.092      -0.048
         338      34.225       0.919       0.966      -2.811       0.000       1.061       0.000       0.082      -0.047
         339      33.037       0.925       0.971      -2.736       0.000       0.947       0.000       0.072      -0.046
         341      31.861       0.931       0.976      -2.662       0.000       0.834       0.000       0.062      -0.044
         342      30.696       0.938       0.981      -2.589       0.000       0.722       0.000       0.053      -0.043
         344      29.543       0.944       0.986      -2.517       0.000       0.613       0.000       0.044      -0.042
         345      28.402       0.951       0.992      -2.446       0.000       0.507       0.000       0.036      -0.041
         347      27.276       0.958       0.998      -2.377       0.000       0.405       0.000       0.028      -0.040
         348      26.164       0.965       1.004      -2.310       0.000       0.309       0.000       0.021      -0.038
         349      25.067       0.973       1.010      -2.246       0.000       0.219       0.000       0.014      -0.037
         351      23.986       0.980       1.017      -2.185       0.000       0.138       0.000       0.008      -0.036
         352      22.921       0.988       1.023      -2.128       0.000       0.069       0.000       0.004      -0.035
         354      21.873       0.995       1.030      -2.078       0.000       0.017       0.000       0.001      -0.035
         355      20.843       1.003       1.037      -2.038       0.000       0.000       0.000       0.000      -0.034
         357      19.832       1.010       1.044      -2.012       0.000       0.000       0.000       0.000      -0.034
         358      18.839       1.018       1.051      -1.992       0.000       0.000       0.000       0.000      -0.033
         360      17.866       1.025       1.058      -1.976       0.000       0.000       0.000       0.000      -0.033
